u,v,key,osmid,highway,lanes,maxspeed,name,oneway,ref,reversed,length,geometry,access,service,width,bridge,junction,tunnel,weights
21529981,830599395,0,80931394,unclassified,,20 mph,Berkeley Avenue,False,,True,12.757906052660738,"LINESTRING (-2.6048738 51.4552697, -2.6047547 51.4553572)",,,,,,,0.4382704660318132
21529982,21529980,0,4067417,residential,,20 mph,Berkeley Square,True,,False,131.01603609839088,"LINESTRING (-2.6056458 51.4547275, -2.6057874 51.4547834, -2.6064972 51.4550571, -2.6065321 51.4550756, -2.6065524 51.455097, -2.6065504 51.4551211, -2.6063729 51.4555842)",,,,,,,0.7563312329729316
21529982,982935335,0,431578440,unclassified,,20 mph,Brandon Hill Lane,False,,True,31.41893828911686,"LINESTRING (-2.6056458 51.4547275, -2.6056287 51.4546776, -2.6056222 51.4546548, -2.6056222 51.4546364, -2.6056262 51.4546095, -2.6056365 51.4545899, -2.6056482 51.4545765, -2.6057979 51.4544902)",,,,,,,0.22043018053512964
21531985,1052953603,0,4319761,unclassified,2.0,20 mph,Clifton Park,False,,True,29.156091259945818,"LINESTRING (-2.6147769 51.4590139, -2.6151316 51.4588728)",,,,,,,0.4385726193905878
21531985,1022548104,0,357564000,secondary,,20 mph,Pembroke Road,False,B4467,False,89.109925071333,"LINESTRING (-2.6147769 51.4590139, -2.6144675 51.4586666, -2.6142802 51.4584928, -2.6140942 51.4583362)",,,,,,,0.07284568276349412
25991706,26218275,0,4319763,residential,,20 mph,Richmond Park Road,False,,False,63.3454755612978,"LINESTRING (-2.6139398 51.4582243, -2.6140525 51.4581334, -2.6141678 51.4579657, -2.6143197 51.4577103)",,,,,,,0.4632924975187068
25991706,1975788450,0,357564000,secondary,,20 mph,Pembroke Road,False,B4467,False,24.675893992461248,"LINESTRING (-2.6139398 51.4582243, -2.6137838 51.4581405, -2.6136583 51.4580891)",,,,,,,0.028953344020465566
25991706,1022548104,0,357564000,secondary,,20 mph,Pembroke Road,False,B4467,True,16.41971635869331,"LINESTRING (-2.6139398 51.4582243, -2.6140249 51.4582819, -2.6140942 51.4583362)",,,,,,,0.6279096962851098
25991707,26070201,0,4308355,residential,,20 mph,Richmond Hill,True,,False,58.13181259674042,"LINESTRING (-2.6126586 51.4576806, -2.6118572 51.4575258)",,,,,,,0.10050468063749807
25991707,26070190,0,37354486,secondary,2.0,20 mph,Queens Road,False,B3129,False,144.9316752507161,"LINESTRING (-2.6126586 51.4576806, -2.6127596 51.4575938, -2.612921 51.4574452, -2.6130776 51.4572776, -2.6132264 51.4571263, -2.6134643 51.4568843, -2.6136282 51.4567171, -2.6137667 51.4565757)",,,,,,,0.7034823255839743
25991707,8265614349,0,357564000,secondary,,20 mph,Pembroke Road,False,B4467,True,38.01274144064192,"LINESTRING (-2.6126586 51.4576806, -2.6128079 51.4577218, -2.6131246 51.4578586)",,,,,,,0.7579447657222737
25991707,1022548134,0,575147481,secondary,,20 mph,Queens Road,True,B3129,False,33.3602619779812,"LINESTRING (-2.6126586 51.4576806, -2.6126138 51.4577714, -2.6124964 51.457861, -2.6123593 51.4578872)",,,,,,,0.5993279891380786
26070171,26070172,0,89079695,residential,2.0,20 mph,Lansdown Road,False,,False,22.63400080505136,"LINESTRING (-2.6145184 51.4554114, -2.6145992 51.455489, -2.6146395 51.4555207, -2.6147229 51.4555685)",,,,,,,0.15039177742385124
26070172,26218282,0,37354486,secondary,2.0,20 mph,Queens Road,False,B3129,True,30.278166145550205,"LINESTRING (-2.6147229 51.4555685, -2.6144665 51.455789)",,,,,,,0.771573149363958
26070172,26070171,0,89079695,residential,2.0,20 mph,Lansdown Road,False,,True,22.63400080505136,"LINESTRING (-2.6147229 51.4555685, -2.6146395 51.4555207, -2.6145992 51.455489, -2.6145184 51.4554114)",,,,,,,0.17364330576974363
26070172,1015346553,0,194944265,secondary,2.0,20 mph,Clifton Road,False,B3129,True,38.346057109610655,"LINESTRING (-2.6147229 51.4555685, -2.6147388 51.4555542, -2.6147993 51.4555262, -2.6148703 51.4555103, -2.6149723 51.4554919, -2.6150104 51.4554917, -2.6150951 51.4554911, -2.6152408 51.4554902)",,,,,,,0.16677906268174747
26070175,26070171,0,89079691,residential,,20 mph,Clifton Road,True,,False,69.59685938570054,"LINESTRING (-2.6139418 51.4548989, -2.6142196 51.4551457, -2.6144755 51.4553732, -2.6145184 51.4554114)",,,,,,,0.8673044286092966
26070181,26070209,0,4309551,unclassified,,20 mph,Clifton Road,False,,False,93.98741162355728,"LINESTRING (-2.6136133 51.4535756, -2.6135755 51.4536174, -2.6135612 51.4536442, -2.6135546 51.4536788, -2.6135501 51.4537132, -2.6135615 51.4537511, -2.6135886 51.4538204, -2.6136034 51.4538573, -2.6136102 51.4538987, -2.613604 51.4539692, -2.6135892 51.4540337, -2.6135568 51.4540919, -2.6135033 51.4541451, -2.613422 51.4542237, -2.6133845 51.454262, -2.6133724 51.4542838, -2.6133606 51.454305, -2.6133694 51.4543411, -2.6133869 51.4543686)",,,,,,,0.9819919905730211
26070181,430191112,0,4309551,unclassified,,20 mph,Clifton Road,False,,True,57.268660718401485,"LINESTRING (-2.6136133 51.4535756, -2.6138146 51.4533713, -2.6139803 51.4532961, -2.6141375 51.4532346, -2.6141824 51.4532193)",,,,,,,0.30070135747084814
26070189,26070190,0,37354486,secondary,2.0,20 mph,Queens Road,False,B3129,True,14.591407119625874,"LINESTRING (-2.6138767 51.4564638, -2.6137667 51.4565757)",,,,,,,0.5041578633639675
26070189,4585717379,0,"[4308332, 4308334]",residential,,20 mph,"['Richmond Lane', 'Richmond Terrace']",True,,False,112.8165857889596,"LINESTRING (-2.6138767 51.4564638, -2.6137606 51.4564107, -2.613535 51.4563099, -2.6133122 51.4561839, -2.6127024 51.4557871, -2.6127166 51.455775)",,,,,,,0.5242083997384324
26070189,26218282,0,37354486,secondary,2.0,20 mph,Queens Road,False,B3129,False,85.44626869120435,"LINESTRING (-2.6138767 51.4564638, -2.6142139 51.4560692, -2.6144665 51.455789)",,,,,,,0.0809119109280827
26070190,26070189,0,37354486,secondary,2.0,20 mph,Queens Road,False,B3129,False,14.591407119625874,"LINESTRING (-2.6137667 51.4565757, -2.6138767 51.4564638)",,,,,,,0.11094552401594293
26070190,26070191,0,4308326,residential,,20 mph,Gordon Road,False,,False,66.54172740272728,"LINESTRING (-2.6137667 51.4565757, -2.6135661 51.4565114, -2.6131777 51.4563877, -2.6129075 51.4563085)",,,,,,,0.5684000650713087
26070190,25991707,0,37354486,secondary,2.0,20 mph,Queens Road,False,B3129,True,144.9316752507161,"LINESTRING (-2.6137667 51.4565757, -2.6136282 51.4567171, -2.6134643 51.4568843, -2.6132264 51.4571263, -2.6130776 51.4572776, -2.612921 51.4574452, -2.6127596 51.4575938, -2.6126586 51.4576806)",,,,,,,0.46898030601086327
26070191,9944114376,0,4311393,residential,,20 mph,Richmond Hill Avenue,False,,True,45.81434563373018,"LINESTRING (-2.6129075 51.4563085, -2.6125944 51.4566714)",,,,,,,0.3751045111902318
26070191,26070193,0,4308326,residential,,20 mph,Gordon Road,False,,False,87.23850975202512,"LINESTRING (-2.6129075 51.4563085, -2.6124159 51.456153, -2.6117855 51.4559525)",,,,,,,0.6107534543207256
26070191,26070190,0,4308326,residential,,20 mph,Gordon Road,False,,True,66.54172740272728,"LINESTRING (-2.6129075 51.4563085, -2.6131777 51.4563877, -2.6135661 51.4565114, -2.6137667 51.4565757)",,,,,,,0.5800411454967892
26070193,7065555299,0,4308329,residential,,20 mph,Wetherell Place,False,,False,27.59997003322337,"LINESTRING (-2.6117855 51.4559525, -2.6116139 51.4561765)",,,,,,,0.40517588566901563
26070193,26070196,0,4308326,residential,,20 mph,Gordon Road,False,,False,59.33019702794783,"LINESTRING (-2.6117855 51.4559525, -2.6113549 51.4558041, -2.6110306 51.4557008)",,,,,,,0.31022629983722927
26070193,26070191,0,4308326,residential,,20 mph,Gordon Road,False,,True,87.23850975202512,"LINESTRING (-2.6117855 51.4559525, -2.6124159 51.456153, -2.6129075 51.4563085)",,,,,,,0.31788953343975734
26070196,26070197,0,4308324,residential,,20 mph,Meridian Place,False,,False,113.83239730849772,"LINESTRING (-2.6110306 51.4557008, -2.6109128 51.455841, -2.6102793 51.4566112)",,,,,,,0.8022097371747345
26070196,26070193,0,4308326,residential,,20 mph,Gordon Road,False,,True,59.33019702794783,"LINESTRING (-2.6110306 51.4557008, -2.6113549 51.4558041, -2.6117855 51.4559525)",,,,,,,0.8298074012786205
26070196,1130492610,0,"[4308330, 4308331]",residential,,20 mph,"['Tottenham Place', 'York Place']",False,,True,99.16825567799778,"LINESTRING (-2.6110306 51.4557008, -2.6115571 51.4550824, -2.6118443 51.4550134)",,,,,,,0.17403959611212516
26070197,26070198,0,4308327,residential,,20 mph,Frederick Place,False,,True,62.672477850939686,"LINESTRING (-2.6102793 51.4566112, -2.6110795 51.456874)",,,,,,,0.22754293175643014
26070197,26070196,0,4308324,residential,,20 mph,Meridian Place,False,,True,113.83239730849772,"LINESTRING (-2.6102793 51.4566112, -2.6109128 51.455841, -2.6110306 51.4557008)",,,,,,,0.24322710875098175
26070197,26070206,0,7984549,residential,,20 mph,Park Place,False,,False,31.263455686284807,"LINESTRING (-2.6102793 51.4566112, -2.6101984 51.4566965, -2.6101379 51.4567358, -2.609944 51.4567769)",,,,,,,0.4264553304163743
26070198,26070197,0,4308327,residential,,20 mph,Frederick Place,False,,False,62.672477850939686,"LINESTRING (-2.6110795 51.456874, -2.6102793 51.4566112)",,,,,,,0.552337581830003
26070198,7065555299,0,4308329,residential,,20 mph,Wetherell Place,False,,True,85.94365550354027,"LINESTRING (-2.6110795 51.456874, -2.6116139 51.4561765)",,,,,,,0.4536147431063863
26070198,26070200,0,4308327,residential,,20 mph,Frederick Place,False,,True,80.0793747351499,"LINESTRING (-2.6110795 51.456874, -2.6114916 51.4570213, -2.6111968 51.4574036)",,,,,,,0.600117368349025
26070200,26070198,0,4308327,residential,,20 mph,Frederick Place,False,,False,80.0793747351499,"LINESTRING (-2.6111968 51.4574036, -2.6114916 51.4570213, -2.6110795 51.456874)",,,,,,,0.8258679790793796
26070200,26070202,0,4308355,residential,,20 mph,Richmond Hill,True,,False,169.15691610022566,"LINESTRING (-2.6111968 51.4574036, -2.6110331 51.4574133, -2.6107629 51.4574106, -2.6101805 51.4574039, -2.6090516 51.4574138, -2.6089703 51.4574462, -2.6088893 51.4575593)",,,,,,,0.006300675061488792
26070201,5359649075,0,4311393,residential,,20 mph,Richmond Hill Avenue,False,,False,60.2434370162869,"LINESTRING (-2.6118572 51.4575258, -2.6122689 51.4570486)",,,,,,,0.4398755680965325
26070201,26070200,0,4308355,residential,,20 mph,Richmond Hill,True,,False,47.9072492459959,"LINESTRING (-2.6118572 51.4575258, -2.6114149 51.457426, -2.6111968 51.4574036)",,,,,,,0.03901897946149424
26070202,17585264,0,36996524,primary,2.0,20 mph,Queen's Road,True,A4018,False,16.109491646780505,"LINESTRING (-2.6088893 51.4575593, -2.6090601 51.4576576)",,,,,,,0.0006371720769579037
26070206,26070207,0,4308328,residential,,20 mph,Park Place,False,,True,145.73413719752597,"LINESTRING (-2.609944 51.4567769, -2.6097175 51.45668, -2.6094729 51.4565753, -2.6092822 51.4564937, -2.60925 51.4564864, -2.6092165 51.4564887, -2.6091827 51.4564966, -2.609163 51.4565152, -2.6086848 51.4571742)",,,,,,,0.6101882476277389
26070206,26070207,1,431578445,residential,,20 mph,Park Place,False,,False,98.50300723633848,"LINESTRING (-2.609944 51.4567769, -2.6093058 51.4569188, -2.6086848 51.4571742)",,,,,,,0.044868056350342966
26070206,26070197,0,7984549,residential,,20 mph,Park Place,False,,True,31.263455686284807,"LINESTRING (-2.609944 51.4567769, -2.6101379 51.4567358, -2.6101984 51.4566965, -2.6102793 51.4566112)",,,,,,,0.32466691638269907
26070207,430270406,0,431578444,residential,,20 mph,Park Place,False,,False,23.43439682039139,"LINESTRING (-2.6086848 51.4571742, -2.6084789 51.4573414)",,,,,,,0.49499165562829617
26070207,26070206,0,4308328,residential,,20 mph,Park Place,False,,False,145.73413719752597,"LINESTRING (-2.6086848 51.4571742, -2.609163 51.4565152, -2.6091827 51.4564966, -2.6092165 51.4564887, -2.60925 51.4564864, -2.6092822 51.4564937, -2.6094729 51.4565753, -2.6097175 51.45668, -2.609944 51.4567769)",,,,,,,0.8170902182543585
26070207,26070206,1,431578445,residential,,20 mph,Park Place,False,,True,98.50300723633848,"LINESTRING (-2.6086848 51.4571742, -2.6093058 51.4569188, -2.609944 51.4567769)",,,,,,,0.2788281778578171
26070209,3357011075,0,89079691,residential,,20 mph,Clifton Road,True,,False,62.41607699136826,"LINESTRING (-2.6133869 51.4543686, -2.6138789 51.4548388)",,,,,,,0.6456384147113461
26070209,26070181,0,4309551,unclassified,,20 mph,Clifton Road,False,,True,93.98741162355728,"LINESTRING (-2.6133869 51.4543686, -2.6133694 51.4543411, -2.6133606 51.454305, -2.6133724 51.4542838, -2.6133845 51.454262, -2.613422 51.4542237, -2.6135033 51.4541451, -2.6135568 51.4540919, -2.6135892 51.4540337, -2.613604 51.4539692, -2.6136102 51.4538987, -2.6136034 51.4538573, -2.6135886 51.4538204, -2.6135615 51.4537511, -2.6135501 51.4537132, -2.6135546 51.4536788, -2.6135612 51.4536442, -2.6135755 51.4536174, -2.6136133 51.4535756)",,,,,,,0.7166336880723655
26070209,1130492610,0,"[4308330, 1035864076]",residential,,20 mph,York Place,False,,False,128.70608242873826,"LINESTRING (-2.6133869 51.4543686, -2.6129213 51.4545632, -2.6121963 51.4548663, -2.6118443 51.4550134)",,,,,,,0.9662807088094819
26070211,26070212,0,36991181,residential,,20 mph,Lower Clifton Hill,True,,False,29.08457185981152,"LINESTRING (-2.6139884 51.453196, -2.6136679 51.4533649)",,,,,,,0.8086214926994124
26070211,430191112,0,1122658462,unclassified,,20 mph,Constitution Hill,False,,True,13.689968913545531,"LINESTRING (-2.6139884 51.453196, -2.6141824 51.4532193)",,,,,,,0.46659423281460255
26070211,430191416,0,1122658462,unclassified,,20 mph,Constitution Hill,False,,False,20.280455845012742,"LINESTRING (-2.6139884 51.453196, -2.6138803 51.4531594, -2.6137367 51.4531031)",,,,,,,0.011301476358511087
26070212,430672321,0,36991181,residential,,20 mph,Lower Clifton Hill,True,,False,98.39574479219016,"LINESTRING (-2.6136679 51.4533649, -2.6134418 51.4535551, -2.6131207 51.4537639, -2.6130421 51.4538192, -2.6127363 51.4539596, -2.6126623 51.4539744)",,,,,,,0.002749722377384578
26070224,21529976,0,4308340,residential,,20 mph,Bellevue,False,,False,150.84508127960618,"LINESTRING (-2.6113568 51.4541492, -2.6113525 51.4540162, -2.6113134 51.4536484, -2.611307 51.4531719, -2.6112858 51.4527937)",,,,,,,0.9490847699668242
26070224,26070229,0,4308341,residential,,20 mph,Lower Clifton Hill,False,,True,73.15192833355908,"LINESTRING (-2.6113568 51.4541492, -2.6111609 51.4542411, -2.6110453 51.4543064, -2.6106126 51.4546124)",,,,,,,0.40119090247137534
26070229,367036281,0,4308341,residential,,20 mph,Lower Clifton Hill,False,,True,6.951203409649908,"LINESTRING (-2.6106126 51.4546124, -2.6105497 51.4546611)",,,,,,,0.05004415063022516
26070229,26070224,0,4308341,residential,,20 mph,Lower Clifton Hill,False,,False,73.15192833355908,"LINESTRING (-2.6106126 51.4546124, -2.6110453 51.4543064, -2.6111609 51.4542411, -2.6113568 51.4541492)",,,,,,,0.23348439795956
26070229,830599319,0,4309546,residential,,20 mph,Meridian Vale,False,,True,29.919298039952043,"LINESTRING (-2.6106126 51.4546124, -2.6106651 51.4546362, -2.6106905 51.4546546, -2.6107117 51.4547024, -2.6107392 51.4548562)",permissive,,,,,,0.8880511448921848
26070232,367036281,0,4308341,residential,,20 mph,Lower Clifton Hill,False,,False,67.13091461033018,"LINESTRING (-2.6098087 51.4550054, -2.6098771 51.4550112, -2.6099244 51.4550115, -2.6099715 51.4550015, -2.6100427 51.4549833, -2.6101396 51.4549379, -2.6105497 51.4546611)",,,,,,,0.9247817399694787
26070232,830599329,0,37002027,secondary,,20 mph,Berkeley Place,True,B4466,False,25.17314205223816,"LINESTRING (-2.6098087 51.4550054, -2.6097373 51.4551158, -2.6096821 51.4552175)",,,,,,,0.23843776480972778
26070233,26159334,0,4308342,service,,20 mph,Hill Street,False,,False,113.34916269886342,"LINESTRING (-2.6030418 51.4541676, -2.6020171 51.453373)",,,,,,,0.35197948629800024
26070233,26070236,0,4308342,service,,20 mph,Hill Street,False,,True,103.7521130763532,"LINESTRING (-2.6030418 51.4541676, -2.6039772 51.4548962)",,,,,,,0.8157045785265864
26070233,17585146,0,4308343,unclassified,,20 mph,Great George Street,False,,True,37.47768023131616,"LINESTRING (-2.6030418 51.4541676, -2.6026238 51.4543815)",,,,,,,0.5082673140747641
26070233,4765573944,0,4308343,unclassified,,20 mph,Great George Street,False,,False,68.8656410923958,"LINESTRING (-2.6030418 51.4541676, -2.6034261 51.4539709, -2.6038098 51.4537745)",,,,,,,0.5771105563670624
26070234,4765573947,0,4308343,unclassified,,20 mph,Great George Street,False,,True,37.88837677072072,"LINESTRING (-2.6044835 51.4534296, -2.604061 51.4536459)",,,,,,,0.329473510933579
26070234,982918639,0,4308343,unclassified,,20 mph,Great George Street,False,,False,105.97154307861766,"LINESTRING (-2.6044835 51.4534296, -2.6051954 51.4530652, -2.6056653 51.4528247)",,,,,,,0.6033590095803557
26070234,957704261,0,"[4308345, 4308347]","['unclassified', 'residential']",,20 mph,"['Charlotte Street South', 'Charlotte Street']",True,,False,199.62555894990695,"LINESTRING (-2.6044835 51.4534296, -2.6049571 51.4537624, -2.6053982 51.454099, -2.6054136 51.4541226, -2.605412 51.4541422, -2.6053961 51.4541548, -2.6048682 51.4544306, -2.6047018 51.4545188, -2.6044323 51.4546654, -2.6043484 51.4547064)",,,,,,,0.45695977305049285
26070234,26070238,0,7984543,residential,,,Bigwood Lane,False,,False,55.47003199897666,"LINESTRING (-2.6044835 51.4534296, -2.6041407 51.4531876, -2.6039532 51.4530559)",,,,,,,0.23917711071993264
26070236,26070233,0,4308342,service,,20 mph,Hill Street,False,,False,103.7521130763532,"LINESTRING (-2.6039772 51.4548962, -2.6030418 51.4541676)",,,,,,,0.958059912918335
26070236,957754269,0,4308347,residential,,20 mph,Charlotte Street,True,,False,37.13718391070456,"LINESTRING (-2.6039772 51.4548962, -2.603912 51.4549311, -2.6035778 51.4551189)",,,,,,,0.8062232426957917
26070238,26070240,0,7984544,residential,,,Bigwood Lane,False,,False,30.11924366253964,"LINESTRING (-2.6039532 51.4530559, -2.6036281 51.4532357)",,,,,,,0.46168781723323393
26070238,26070239,0,7984544,residential,,,Bigwood Lane,False,,True,18.419683907970903,"LINESTRING (-2.6039532 51.4530559, -2.6041521 51.452946)",,,,,,,0.6809637426606677
26070238,26070234,0,7984543,residential,,,Bigwood Lane,False,,True,55.47003199897666,"LINESTRING (-2.6039532 51.4530559, -2.6041407 51.4531876, -2.6044835 51.4534296)",,,,,,,0.7143031128434009
26070239,26070238,0,7984544,residential,,,Bigwood Lane,False,,False,18.419683907970903,"LINESTRING (-2.6041521 51.452946, -2.6039532 51.4530559)",,,,,,,0.10118495572893693
26070240,26070238,0,7984544,residential,,,Bigwood Lane,False,,True,30.11924366253964,"LINESTRING (-2.6036281 51.4532357, -2.6039532 51.4530559)",,,,,,,0.463110799266093
26103633,5227109824,0,4309546,residential,,20 mph,Meridian Vale,False,,False,55.79663496304331,"LINESTRING (-2.610435 51.4556018, -2.6105977 51.455385, -2.610741 51.4551382)",permissive,,,,,,0.8494234496203429
26104404,1968626134,0,8382698,residential,2.0,20 mph,College Street,False,,False,58.192687513338,"LINESTRING (-2.6025246 51.4523243, -2.6024818 51.4524652, -2.6023948 51.4526582, -2.6023461 51.4527785, -2.6023536 51.4528337)",,,,,,,0.8132413859486566
26104404,26104406,0,8382698,residential,2.0,20 mph,College Street,False,,True,70.32435188877636,"LINESTRING (-2.6025246 51.4523243, -2.6025266 51.4522164, -2.6025146 51.4521648, -2.6025054 51.452099, -2.6024682 51.4519136, -2.6023769 51.4517016)",,,,,,,0.5601393349541787
26104404,3584572356,0,352696293,service,,,,False,,False,8.635626033234484,"LINESTRING (-2.6025246 51.4523243, -2.6024549 51.4523118, -2.6024048 51.4523029)",,,,,,,0.33156666677256086
26104406,26104404,0,8382698,residential,2.0,20 mph,College Street,False,,False,70.32435188877636,"LINESTRING (-2.6023769 51.4517016, -2.6024682 51.4519136, -2.6025054 51.452099, -2.6025146 51.4521648, -2.6025266 51.4522164, -2.6025246 51.4523243)",,,,,,,0.04791836089110746
26104406,974590436,0,83696506,unclassified,,,Deanery Road,False,,False,34.282128918227684,"LINESTRING (-2.6023769 51.4517016, -2.6020202 51.4517543, -2.6018955 51.4517727)",yes,alley,4.5,,,,0.08541419860154542
